Date,High,Low,Open,Close,Volume,Adj Close
2022-06-20,20913.322265625,19689.169921875,20553.37109375,20599.537109375,30818458597,20599.537109375
2022-06-21,21620.62890625,20415.0625,20594.294921875,20710.59765625,28970212744,20710.59765625
2022-06-22,20835.75,19848.078125,20719.4140625,19987.029296875,28574793478,19987.029296875
2022-06-23,21135.76171875,19950.1171875,19986.607421875,21085.876953125,26188097173,21085.876953125
2022-06-24,21472.91796875,20777.51171875,21084.6484375,21231.65625,24957784918,21231.65625
2022-06-25,21520.9140625,20964.5859375,21233.609375,21502.337890625,18372538715,21502.337890625
2022-06-26,21783.724609375,21016.26953125,21496.494140625,21027.294921875,18027170497,21027.294921875
2022-06-27,21478.08984375,20620.19921875,21028.23828125,20735.478515625,20965695707,20735.478515625
2022-06-28,21164.423828125,20228.8125,20731.544921875,20280.634765625,21381535161,20280.634765625
2022-06-29,20364.15625,19937.791015625,20281.169921875,20104.0234375,23552740328,20104.0234375
2022-06-30,20141.16015625,18729.65625,20108.3125,19784.7265625,26267239923,19784.7265625
2022-07-01,20632.671875,19073.708984375,19820.470703125,19269.3671875,30767551159,19269.3671875
2022-07-02,19371.748046875,19027.08203125,19274.8359375,19242.255859375,18100418740,19242.255859375
2022-07-03,19558.26953125,18966.951171875,19242.095703125,19297.076171875,16390821947,19297.076171875
2022-07-04,20258.748046875,19063.06640625,19297.314453125,20231.26171875,21594638208,20231.26171875
2022-07-05,20635.466796875,19341.232421875,20225.353515625,20190.115234375,26715546990,20190.115234375
2022-07-06,20595.529296875,19823.51171875,20194.619140625,20548.24609375,24598943708,20548.24609375
2022-07-07,21771.81640625,20296.103515625,20547.814453125,21637.587890625,25814972520,21637.587890625
2022-07-08,22314.94140625,21257.453125,21637.154296875,21731.1171875,49899834488,21731.1171875
2022-07-09,21877.138671875,21445.95703125,21716.828125,21592.20703125,29641127858,21592.20703125
2022-07-10,21591.080078125,20727.123046875,21591.080078125,20860.44921875,28688807249,20860.44921875
2022-07-11,20856.353515625,19924.5390625,20856.353515625,19970.556640625,24150249025,19970.556640625
2022-07-12,20043.4453125,19308.53125,19970.474609375,19323.9140625,25810220018,19323.9140625
2022-07-13,20223.052734375,18999.953125,19325.97265625,20212.07421875,33042430345,20212.07421875
2022-07-14,20789.89453125,19689.2578125,20211.466796875,20569.919921875,31158743333,20569.919921875
2022-07-15,21138.244140625,20397.0,20573.15625,20836.328125,25905575359,20836.328125
2022-07-16,21514.404296875,20518.8984375,20834.103515625,21190.31640625,24302954056,21190.31640625
2022-07-17,21600.640625,20778.1796875,21195.041015625,20779.34375,22927802083,20779.34375
2022-07-18,22633.033203125,20781.912109375,20781.912109375,22485.689453125,39974475562,22485.689453125
2022-07-19,23666.962890625,21683.40625,22467.849609375,23389.43359375,48765202697,23389.43359375
2022-07-20,24196.818359375,23009.94921875,23393.19140625,23231.732421875,42932549127,23231.732421875
2022-07-21,23388.322265625,22431.1484375,23233.201171875,23164.62890625,33631012204,23164.62890625
2022-07-22,23671.927734375,22603.416015625,23163.751953125,22714.978515625,31421555646,22714.978515625
2022-07-23,22977.2109375,22002.91015625,22706.984375,22465.478515625,24021799169,22465.478515625
2022-07-24,22974.001953125,22306.83984375,22465.509765625,22609.1640625,23565495303,22609.1640625
2022-07-25,22649.12109375,21361.642578125,22607.15625,21361.701171875,35574561406,21361.701171875
2022-07-26,21361.12109375,20776.81640625,21361.12109375,21239.75390625,28624673855,21239.75390625
2022-07-27,22986.529296875,21070.806640625,21244.169921875,22930.548828125,31758955233,22930.548828125
2022-07-28,24110.470703125,22722.265625,22933.640625,23843.88671875,40212386158,23843.88671875
2022-07-29,24294.787109375,23481.173828125,23845.212890625,23804.6328125,35887249746,23804.6328125
2022-07-30,24572.580078125,23580.5078125,23796.818359375,23656.20703125,28148218301,23656.20703125
2022-07-31,24121.642578125,23275.703125,23652.0703125,23336.896484375,23553591896,23336.896484375
2022-08-01,23464.787109375,22890.796875,23336.71875,23314.19921875,25849159141,23314.19921875
2022-08-02,23415.041015625,22710.083984375,23308.43359375,22978.1171875,28389250717,22978.1171875
2022-08-03,23578.650390625,22747.8359375,22981.302734375,22846.5078125,26288169966,22846.5078125
2022-08-04,23198.009765625,22485.701171875,22848.21484375,22630.95703125,25120229769,22630.95703125
2022-08-05,23422.828125,22612.177734375,22626.833984375,23289.314453125,28881249043,23289.314453125
2022-08-06,23326.5625,22961.279296875,23291.423828125,22961.279296875,15978259885,22961.279296875
2022-08-07,23359.009765625,22894.556640625,22963.505859375,23175.890625,15886817043,23175.890625
2022-08-08,24203.689453125,23176.546875,23179.52734375,23809.486328125,28575544847,23809.486328125
2022-08-09,23898.615234375,22982.0,23811.484375,23164.318359375,23555719219,23164.318359375
2022-08-10,24127.4140625,22771.51953125,23162.8984375,23947.642578125,32837431722,23947.642578125
2022-08-11,24822.62890625,23900.99609375,23948.345703125,23957.529296875,37127036580,23957.529296875
2022-08-12,24412.56640625,23657.265625,23957.203125,24402.818359375,27265804688,24402.818359375
2022-08-13,24860.05078125,24346.115234375,24402.1875,24424.068359375,22987346289,24424.068359375
2022-08-14,24974.9140625,24206.259765625,24429.056640625,24319.333984375,22994133555,24319.333984375
2022-08-15,25135.58984375,23839.775390625,24318.31640625,24136.97265625,35123501685,24136.97265625
2022-08-16,24228.416015625,23733.5,24126.13671875,23883.291015625,27753685646,23883.291015625
2022-08-17,24407.05859375,23243.353515625,23881.31640625,23335.998046875,30931623076,23335.998046875
2022-08-18,23563.83203125,23177.6015625,23341.0390625,23212.73828125,23747613147,23212.73828125
2022-08-19,23213.3125,20868.84765625,23213.3125,20877.552734375,40509610260,20877.552734375
2022-08-20,21350.806640625,20856.73046875,20872.841796875,21166.060546875,27595671000,21166.060546875
2022-08-21,21668.845703125,21103.197265625,21160.392578125,21534.12109375,23102307723,21534.12109375
2022-08-22,21531.462890625,20939.18359375,21531.462890625,21398.908203125,31666498758,21398.908203125
2022-08-23,21646.203125,20955.138671875,21401.044921875,21528.087890625,31878280659,21528.087890625
2022-08-24,21783.076171875,21195.005859375,21526.455078125,21395.01953125,31962253368,21395.01953125
2022-08-25,21789.63671875,21362.44140625,21395.458984375,21600.904296875,31028679593,21600.904296875
2022-08-26,21804.908203125,20199.482421875,21596.0859375,20260.01953125,42326789564,20260.01953125
2022-08-27,20340.775390625,19890.5234375,20262.48046875,20041.73828125,30116729776,20041.73828125
2022-08-28,20139.0546875,19616.814453125,20041.03515625,19616.814453125,24366810591,19616.814453125
2022-08-29,20357.462890625,19600.78515625,19615.154296875,20297.994140625,32637854078,20297.994140625
2022-08-30,20542.64453125,19617.640625,20298.611328125,19796.80859375,34483360283,19796.80859375
2022-08-31,20420.990234375,19799.58203125,19799.58203125,20049.763671875,33225232872,20049.763671875
2022-09-01,20198.390625,19653.96875,20050.498046875,20127.140625,30182031010,20127.140625
2022-09-02,20401.568359375,19814.765625,20126.072265625,19969.771484375,29123998928,19969.771484375
2022-09-03,20037.009765625,19698.35546875,19969.71875,19832.087890625,23613051457,19832.087890625
2022-09-04,19999.689453125,19636.81640625,19832.470703125,19986.712890625,25245861652,19986.712890625
2022-09-05,20031.16015625,19673.046875,19988.7890625,19812.37109375,28813460025,19812.37109375
2022-09-06,20155.26953125,18800.171875,19817.724609375,18837.66796875,43403978910,18837.66796875
2022-09-07,19427.171875,18644.466796875,18837.68359375,19290.32421875,35239757134,19290.32421875
2022-09-08,19417.3515625,19076.71484375,19289.94140625,19329.833984375,32194477850,19329.833984375
2022-09-09,21439.41015625,19310.962890625,19328.140625,21381.15234375,48469528171,21381.15234375
2022-09-10,21760.275390625,21168.72265625,21376.912109375,21680.5390625,36913738894,21680.5390625
2022-09-11,21770.552734375,21406.9453125,21678.54296875,21769.255859375,34493951963,21769.255859375
2022-09-12,22439.181640625,21603.896484375,21770.1484375,22370.44921875,50212088965,22370.44921875
2022-09-13,22673.8203125,20062.669921875,22371.48046875,20296.70703125,51091116622,20296.70703125
2022-09-14,20467.201171875,19793.396484375,20184.5546875,20241.08984375,37872380889,20241.08984375
2022-09-15,20318.166015625,19636.734375,20242.2890625,19701.2109375,36389011503,19701.2109375
2022-09-16,19870.62890625,19400.076171875,19704.005859375,19772.583984375,30123362273,19772.583984375
2022-09-17,20162.53125,19777.033203125,19777.033203125,20127.576171875,24957448100,20127.576171875
2022-09-18,20127.234375,19387.4921875,20127.234375,19419.505859375,31254779144,19419.505859375
2022-09-19,19639.48046875,18390.318359375,19418.572265625,19544.12890625,40177002624,19544.12890625
2022-09-20,19592.896484375,18882.5546875,19573.447265625,18944.640625,35732512768,18944.640625
